"url_stazione","url_sensore","id_parametro","data_inizio_sensore","data_fine_sensore","quota_da_pc","altezza_supporto","note_sensore","copy_url_stazione","codice_istat_comune","codice_stazione","denominazione","indirizzo_localita","nazione","longitudine_e_wgs84_d","latitudine_n_wgs84_d","quota_stazione","esposizione","note","tipo_staz","data_inizio","data_fine","sigla_prov","comune","fk_id_punto_misura_meteo"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004078-901-2002-05-30/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004078-901-000TERMA-2022-10-27/","TERMA","2022-10-27","","22.65","3.2","Sensore installato sul tetto del palazzo della Camera di Commercio","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004078-901-2002-05-30/","004078","S2891","CUNEO CAMERA COMMERCIO","CUNEO - VIA E. FILIBERTO 3","ITALIA","7.54722","44.38806","550","ESE","Stazione installata sul tetto dell'edificio","BPRTV","2002-05-31","","CN","CUNEO","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004078-901/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004079-901-1999-09-02/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004079-901-000TERMA-1999-09-02/","TERMA","1999-09-02","","0.0","3.06","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004079-901-1999-09-02/","004079","358","S. GIACOMO DEMONTE","SAN GIACOMO DI DEMONTE","ITALIA","7.20306","44.34556","1297","NE","","PT","1999-09-03","","CN","DEMONTE","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004079-901/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004079-902-2001-05-17/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004079-902-000TERMA-2001-10-01/","TERMA","2001-10-01","","0.0","0.0","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004079-902-2001-05-17/","004079","S2571","DEMONTE","DEMONTE - AZIENDA IMALPI","ITALIA","7.31222","44.31639","765","NE","","PTV","2001-10-01","","CN","DEMONTE","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004079-902/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004082-900-1999-07-14/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004082-900-000TERMA-1999-07-14/","TERMA","1999-07-14","","0.0","3.52","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004082-900-1999-07-14/","004082","342","DRONERO","PRATAVECCHIA","ITALIA","7.41083","44.45139","575","WSW","","PT","1999-07-15","","CN","DRONERO","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004082-900/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004083-900-2001-09-06/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004083-900-000TERMA-2001-10-01/","TERMA","2001-10-01","","0.0","3.78","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004083-900-2001-09-06/","004083","S2572","ELVA","MARTINI","ITALIA","7.08917","44.54611","1770","SSW","","NPT","2001-10-01","","CN","ELVA","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004083-900/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004084-900-2001-06-27/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004084-900-000TERMA-2001-10-01/","TERMA","2001-10-01","","0.0","4.88","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004084-900-2001-06-27/","004084","S2576","DIGA DEL CHIOTAS","DIGA DEL CHIOTAS","ITALIA","7.33417","44.16111","2020","N","","GNPRTW","2001-10-01","","CN","ENTRACQUE","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004084-900/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004084-901-2001-01-17/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004084-901-000TERMA-2001-10-01/","TERMA","2001-10-01","","0.0","3.42","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004084-901-2001-01-17/","004084","295","DIGA LA PIASTRA","DIGA LA PIASTRA","ITALIA","7.38861","44.22667","950","E","","PT","2001-10-01","","CN","ENTRACQUE","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004084-901/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004084-902-2002-10-03/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004084-902-000TERMA-2002-10-03/","TERMA","2002-10-03","","0.0","5.8","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004084-902-2002-10-03/","004084","S2898","ROCCA DELL'ABISSO","ROCCA DELL'ABISSO","ITALIA","7.50398","44.1435","2753","S","","BRTV","2002-10-04","","CN","ENTRACQUE","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004084-902/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004088-900-1995-11-22/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004088-900-000TERMA-1995-11-22/","TERMA","1995-11-22","","0.0","3.08","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004088-900-1995-11-22/","004088","327","FEISOGLIO","BRIC DELLA CHIESA","ITALIA","8.11222","44.54583","770","SSE","","HNPT","1995-11-22","","CN","FEISOGLIO","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004088-900/"
"https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004089-900-1993-04-08/","https://utility.arpa.piemonte.it/meteoidro/sensore_meteo/PIE-004089-900-000TERMA-1993-04-08/","TERMA","1993-04-08","","0.0","1.6","","https://utility.arpa.piemonte.it/meteoidro/stazione_meteorologica/PIE-004089-900-1993-04-08/","004089","323","FOSSANO","MADONNA DI LORETO","ITALIA","7.78722","44.53889","403","N","","BHPRTV","1993-04-08","","CN","FOSSANO","https://utility.arpa.piemonte.it/meteoidro/punti_misura_meteo/PIE-004089-900/"
